Film	Genre	RottenTomatoesRatings	AudienceRatings	Budget(million)	Yearofrelease
Confessions of a Shopaholic	Comedy	24	53	70	2009
Contagion	Thriller	84	63	60	2011
Cop Out	Action	19	45	30	2010
Country Strong	Drama	20	56	15	2010
Couples Retreat	Comedy	12	47	60	2009
Cowboys and Aliens	Action	44	50	163	2011
Crank: High Voltage	Action	62	54	13	2009
Crazy, Stupid, Love	Romance	78	81	50	2011
Cyrus	Comedy	80	51	7	2010
Daddy Day Camp	Comedy	1	63	6	2007
Dance Flick	Action	17	35	25	2009
Date Night	Comedy	66	58	55	2010
Daybreakers	Action	67	50	20	2009
Dear John	Drama	29	66	25	2010
Death at a Funeral	Comedy	40	48	21	2007
Death Race	Action	42	69	45	2008
Definitely, Maybe	Comedy	71	72	7	2008
Devil	Horror	52	45	10	2010
Diary of a Wimpy Kid	Comedy	53	49	15	2010
Diary of a Wimpy Kid 2: Rodrick Rules	Comedy	47	63	21	2011
Did You Hear About the Morgans?	Comedy	12	31	58	2009
Dinner for Schmucks	Comedy	43	47	69	2010
Disaster Movie	Comedy	2	28	20	2008
District 9	Action	91	81	30	2009
Disturbia	Thriller	67	75	20	2007
Dolphin Tale	Drama	84	81	37	2011
Don't Be Afraid Of The Dark	Horror	59	37	25	2010
Doomsday	Action	48	47	33	2008
Doubt	Drama	78	75	25	2008
Drag Me to Hell	Horror	92	61	30	2009
Dragon Wars (aka D-War)	Action	27	44	75	2007
Dragonball Evolution	Action	15	28	30	2009
Dream House	Horror	7	38	50	2011
Drillbit Taylor	Comedy	26	49	40	2008
Drive	Thriller	93	79	15	2011
Drive Angry	Action	45	38	45	2011
Due Date	Comedy	40	56	50	2010
Duplicity	Romance	64	38	60	2009
Dylan Dog: Dead of Night	Horror	6	28	20	2010
Eagle Eye	Action	27	72	80	2008
Easy A	Comedy	85	75	8	2010
Eat Pray Love	Drama	36	46	60	2010
Enchanted	Comedy	93	80	85	2007
Epic Movie	Comedy	2	38	20	2007
Evan Almighty	Comedy	23	56	175	2007
Everybody's Fine	Drama	46	55	21	2009
Everything Must Go	Drama	74	53	5	2010
Extract	Comedy	62	37	8	2009
Extraordinary Measures	Drama	27	55	31	2010
Extremely Loud and Incredibly Close	Drama	47	62	40	2011
Fame	Comedy	25	43	18	2009
Fantastic Four: Rise of the Silver Surfer	Action	35	55	130	2007
Fast and Furious	Action	28	76	85	2009
Fast Five	Action	78	83	125	2011
Faster	Action	41	50	24	2010
Final Destination 5	Horror	61	56	40	2011
Fired Up!	Comedy	22	52	20	2009
Fireproof	Drama	40	51	1	2008
First Sunday	Comedy	13	59	13	2008
Fool's Gold	Adventure	11	53	73	2008
Footloose	Drama	71	71	24	2011
For Colored Girls	Drama	33	73	21	2010
Forgetting Sarah Marshall	Comedy	85	75	30	2008
Four Christmases	Comedy	26	52	80	2008
Friday the 13th	Horror	25	52	19	2009
Friends With Benefits	Romance	71	68	35	2011
Fright Night	Horror	75	68	30	2011
From Paris with Love	Action	38	57	52	2010
Funny People	Comedy	68	58	75	2009
Furry Vengeance	Comedy	8	36	35	2010
G-Force	Action	22	50	150	2009
G.I. Joe: The Rise of Cobra	Action	33	62	175	2009
Gamer	Action	29	43	13	2009
Get Him to the Greek	Comedy	73	63	40	2010
Get Smart	Action	51	73	80	2008
Ghost Rider	Action	28	56	110	2007
Ghost Town	Comedy	85	60	20	2008
Ghosts of Girlfriends Past	Comedy	27	47	50	2009
Going the Distance	Comedy	53	56	32	2010
Good Luck Chuck	Comedy	3	61	25	2007
Gran Torino	Drama	80	90	33	2008
Green Lantern	Action	27	48	200	2011
Green Zone	Action	53	60	100	2010
Greenberg	Comedy	75	40	0	2010
Grindhouse	Action	82	86	53	2007
Grown Ups	Comedy	10	59	80	2010
Gulliver's Travels	Comedy	21	31	112	2010
Hachiko: A Dog's Story	Drama	58	85	16	2009
Hall Pass	Comedy	35	44	36	2011
Halloween	Horror	26	64	20	2007
Halloween II	Horror	20	45	15	2009
Hancock	Action	40	67	150	2008
Hanna	Action	71	67	30	2011
Hannah Montana: The Movie	Comedy	44	66	35	2009
Harold and Kumar Escape from Guantanamo Bay	Adventure	54	65	12	2008
Harry Potter and the Deathly Hallows Part 1	Adventure	79	87	125	2010
Harry Potter and the Half-Blood Prince	Adventure	83	75	250	2009
Harry Potter and the Order of the Phoenix	Adventure	78	82	150	2007
He's Just Not That Into You	Comedy	42	60	25	2009
Hellboy II: The Golden Army	Action	87	70	83	2008
Hesher	Drama	54	68	7	2010
High School Musical 3: Senior Year	Comedy	65	76	11	2008
Hitman	Action	15	61	18	2007
Horrible Bosses	Comedy	69	72	35	2011
Hostel: Part II	Horror	44	45	10	2007
Hot Tub Time Machine	Adventure	64	57	36	2010
Hotel for Dogs	Comedy	46	57	35	2009
Hugo	Adventure	93	84	150	2011
I Am Legend	Thriller	69	69	150	2007
I Am Number Four	Thriller	32	57	60	2011
I Love You Beth Cooper	Comedy	14	38	18	2009
I Love You Phillip Morris	Comedy	71	57	15	2009
I Love You, Man	Comedy	83	72	40	2009
I Now Pronounce You Chuck and Larry	Comedy	13	73	85	2007
I'm Still Here	Comedy	52	38	0	2010
Imagine That	Comedy	38	44	55	2009
Immortals	Action	36	59	75	2011
In the Land of Women	Comedy	43	72	10	2007
In Time	Thriller	38	55	40	2011
Inception	Action	86	93	160	2010
Indiana Jones and the Kingdom of the Crystal Skull	Action	77	59	185	2008
Inglourious Basterds	Adventure	88	87	70	2009
Inkheart	Adventure	39	51	60	2008
Insidious	Horror	67	65	2	2008
Into the Wild	Drama	82	90	15	2007
Iron Man	Action	94	91	186	2008
Iron Man 2	Action	74	80	200	2010
It's Complicated	Comedy	56	63	85	2009
J.Edgar	Drama	42	84	35	2011
Jack and Jill	Comedy	4	59	79	2011
Jane Eyre	Romance	85	77	0	2011
Jennifer's Body	Comedy	42	37	16	2009
Johnny English Reborn	Comedy	38	55	45	2011
Jonah Hex	Action	13	24	47	2010
Journey to the Center of the Earth	Action	61	55	45	2008
Jumper	Action	16	50	83	2008
Juno	Comedy	94	89	8	2007
Just Go With It	Romance	19	63	80	2011
Just Wright	Comedy	45	58	12	2010
Kick-Ass	Action	76	83	30	2010
Killer Elite	Action	25	48	70	2011
Killers	Action	11	45	75	2010
Kit Kittredge: An American Girl	Drama	78	26	10	2008
Knight and Day	Action	53	52	117	2010
Knocked Up	Comedy	91	83	33	2007
Knowing	Drama	33	50	50	2009
Land of the Lost	Drama	26	38	100	2009
Larry Crowne	Drama	34	46	30	2011
Leap Year	Comedy	21	49	19	2010
Leatherheads	Comedy	52	41	58	2008
Legion	Action	19	36	26	2010
Letters to Juliet	Comedy	40	62	30	2010
License to Wed	Comedy	8	55	35	2007
Life as We Know It	Comedy	28	62	38	2010
Limitless	Thriller	69	73	27	2011
Lions for Lambs	Drama	27	48	35	2007
Little Fockers	Comedy	9	40	100	2010
Live Free or Die Hard	Action	79	86	110	2007
Love & Other Drugs	Comedy	48	55	30	2010
Love Happens	Drama	18	40	18	2009
MacGruber	Action	47	33	10	2010
Machete	Action	73	66	20	2010
Machine Gun Preacher	Action	29	71	30	2011
Mad Money	Comedy	22	51	22	2008
Made of Honor	Comedy	13	61	40	2008
Mamma Mia!	Comedy	53	76	66	2008
Margin Call	Thriller	86	73	4	2011
Marley and Me	Comedy	63	77	55	2008
Marmaduke	Comedy	9	46	50	2010
Max Payne	Action	16	36	35	2008
Meet Dave	Adventure	19	42	60	2008
Meet the Spartans	Comedy	2	31	30	2008
Michael Clayton	Thriller	90	72	25	2007
Midnight in Paris	Romance	93	84	17	2011
Miracle at St. Anna	Action	34	68	45	2008
Mirrors	Horror	14	49	35	2008
Miss Pettigrew Lives for a Day	Comedy	78	70	60	2008
Mission Impossible 4	Action	93	86	145	2011
Moneyball	Drama	95	89	50	2011
Monte Carlo	Romance	38	50	20	2011
Morning Glory	Comedy	54	54	40	2010
Mother and Child	Drama	79	61	7	2009
Mr. Brooks	Thriller	56	75	20	2007
Mr. Popper's Penguins	Comedy	47	54	55	2011
Music and Lyrics	Romance	63	70	40	2007
My Best Friend's Girl	Comedy	14	51	20	2008
My Life in Ruins	Comedy	9	43	17	2009
My Sister's Keeper	Drama	47	73	28	2009
My Soul to Take	Horror	9	29	25	2010
My Week with Marilyn	Drama	83	84	10	2011
Nancy Drew	Thriller	49	61	20	2007
Nanny McPhee Returns	Comedy	77	54	35	2010
National Treasure: Book of Secrets	Thriller	31	72	130	2007
Never Back Down	Action	23	37	21	2008
Never Let Me Go	Drama	70	70	15	2010
New Year's Eve	Romance	8	48	56	2011
Next	Thriller	29	59	70	2007
Next Day Air	Action	21	27	3	2009
Nick and Norah's Infinite Playlist	Comedy	73	67	10	2008
Night at the Museum: Battle of the Smithsonian	Action	43	60	150	2009
Nights in Rodanthe	Drama	31	56	30	2008
Nim's Island	Adventure	51	50	37	2008
Nine	Drama	37	40	80	2009
Ninja Assassin	Action	25	57	50	2009
No Country for Old Men	Drama	95	84	25	2007
No Reservations	Comedy	39	64	28	2007
No Strings Attached	Comedy	49	57	25	2011
Norbit	Comedy	9	56	60	2007
Not Easily Broken	Drama	34	66	5	2009
Observe and Report	Comedy	51	40	18	2009
Obsessed	Drama	20	50	20	2009
Ocean's 13	Thriller	70	74	85	2007
Old Dogs	Comedy	5	49	35	2009
One Day	Romance	37	54	15	2011
One Missed Call	Horror	0	36	20	2008
Orphan	Horror	55	65	30	2009
Our Family Wedding	Comedy	14	49	0	2010
Our Idiot Brother	Comedy	68	79	5	2011
Over Her Dead Body	Comedy	15	47	10	2008
P.S. I Love You	Romance	21	82	30	2007
Pandorum	Action	28	49	40	2009
Paranormal Activity	Horror	82	56	1	2007
Paranormal Activity 2	Horror	0	0	3	2010
Paranormal Activity 3	Horror	68	58	5	2011
Pathfinder: Legend of the Ghost Warrior	Action	11	41	26	2007
Paul	Comedy	72	70	40	2011
Paul Blart: Mall Cop	Action	33	50	26	2009
Penelope	Comedy	52	74	15	2008
Percy Jackson & the Olympians: The Lightning Thief	Action	50	57	95	2010
Pineapple Express	Action	68	74	26	2008
Piranha 3-D	Comedy	74	45	24	2010
Pirate Radio (The Boat that Rocked, UK)	Comedy	60	72	50	2009
Pirates of the Caribbean: On Stranger Tides	Action	34	61	250	2011
Pirates of the Caribbean: At World's End	Action	45	74	300	2007
Please Give	Comedy	88	62	3	2010
Post Grad	Comedy	7	31	15	2009
Predators	Action	64	52	40	2010
Premonition	Drama	8	55	20	2007
Priest	Action	17	37	60	2011
Prince of Persia: The Sands of Time	Action	36	71	200	2010
Prom Night	Horror	8	46	18	2008
Punisher: War Zone	Action	27	47	35	2008
Push	Action	22	47	38	2009
Quantum of Solace	Action	64	62	230	2008
Quarantine	Horror	59	46	12	2008
Race to Witch Mountain	Action	42	50	50	2009
Rachel Getting Married	Drama	85	61	12	2008
Rambo	Action	36	70	48	2008
Real Steel	Action	58	81	110	2011
Red	Action	71	72	58	2010
Red Riding Hood	Horror	11	41	42	2011
Red State	Horror	57	59	4	2011
Remember Me	Drama	28	70	16	2010
Repo Men	Action	22	43	32	2010
Resident Evil: Afterlife	Action	24	53	60	2010
Rise of the Planet of the Apes	Action	83	87	93	2011
Robin Hood	Action	42	59	200	2010
Role Models	Comedy	77	75	28	2008
Rush Hour 3	Action	20	68	140	2007
Salt	Action	62	62	110	2010
Sanctum	Action	30	39	30	2011
Saw IV	Horror	18	70	10	2007
Saw VI	Horror	40	67	11	2009
Scott Pilgrim vs. the World	Action	81	83	60	2010
Scream 4	Horror	58	57	40	2011
Season Of The Witch	Action	10	32	40	2011
Semi-Pro	Comedy	21	41	3	2008
Seven Pounds	Drama	27	77	55	2008
Sex and the City	Comedy	49	81	58	2008
Sex and the City 2	Comedy	15	49	100	2010
Sex Drive	Adventure	46	61	19	2008
Shame	Drama	80	80	7	2011
Shark Night 3D	Horror	16	25	25	2011
She's Out of My League	Comedy	57	60	20	2010
Sherlock Holmes	Action	70	81	90	2009
Sherlock Holmes 2	Action	60	79	125	2011
Shoot 'Em Up	Action	67	66	39	2007
Shooter	Action	47	82	61	2007
Shutter	Horror	7	40	8	2008
Shutter Island	Drama	68	73	80	2010
Skyline	Action	16	19	10	2010
Smart People	Comedy	50	41	7	2008
Solitary Man	Comedy	81	47	15	2009
Something Borrowed	Romance	0	0	35	2011
Sorority Row	Horror	22	38	13	2009
Soul Men	Comedy	45	42	0	2008
Soul Surfer	Drama	46	79	18	2011
Source Code	Thriller	92	81	32	2011
Speed Racer	Action	38	61	120	2008
Spider-Man 3	Action	61	54	258	2007
Spy Kids: All The Time in the World	Action	22	40	27	2011
Star Trek	Action	94	91	140	2009
Stardust	Adventure	76	86	70	2007
Step Brothers	Comedy	54	68	65	2008
Step Up 2: The Streets	Drama	26	81	18	2008
Step Up 3D	Drama	46	67	30	2010
Stone	Drama	49	20	22	2010
Stop-Loss	Drama	65	27	25	2008
Street Fighter: The Legend of Chun-Li	Action	16	28	50	2009
Street Kings	Action	37	62	20	2008
Sucker Punch	Action	23	48	82	2011
Sunshine Cleaning	Comedy	72	59	5	2008
Super 8	Horror	82	78	50	2011
Superbad	Comedy	88	87	20	2007
Superhero Movie	Comedy	15	36	65	2008
Surrogates	Action	39	42	80	2009
Swing Vote	Comedy	36	44	20	2008
Take Me Home Tonight	Comedy	28	46	25	2011
Take Shelter	Drama	92	85	5	2011
Taken	Action	58	83	25	2008
Takers	Action	27	57	32	2010
Taking Woodstock	Comedy	48	48	29	2009
Terminator Salvation	Action	33	64	200	2009
The A-Team	Action	47	71	100	2010
The Adjustment Bureau	Thriller	72	67	51	2011
The Adventures of Tintin	Adventure	74	78	130	2011
The Artist	Drama	97	91	16	2011
The Back-up Plan	Comedy	20	47	35	2010
The Bank Job	Thriller	78	74	20	2008
The Beaver	Drama	62	57	21	2011
The Big Year	Comedy	38	62	41	2011
